Month,Item,Value
201807,Cider - bar (33cl bottle),5.005
201807,Flavoured alcoholic drink - bar (275ml bottle),5.513
201807,Whiskey - bar (single) per ½ glass,4.393
201807,Brandy - bar (single) per ½ glass,4.801
201807,Vodka - bar (single) per ½ glass,4.407
201807,Wine - bar (187ml bottle),
201807,Diesel per litre,1.364
201807,Petrol - unleaded per litre,1.465
201807,Cinema fee,9.693
201807,Nightclubs fee,9.179
201807,Gent's dry cut fee,12.848
201807,"Gent's wash, cut, and blow dry fee",
201807,"Ladies' wash, cut and blow dry fee",39.918
201808,"White, self raising flour per 2 kg",2.336
201808,"Brown, wholemeal flour per 2 kg",2.842
201808,"Bread, white sliced pan, large (800g)",1.29
201808,"Bread, brown sliced pan, large (800g)",1.389
201808,Spaghetti per 500g,0.997
201808,Sirloin steak per kg,15.253
201808,Striploin steak per kg,21.047
201808,Roast beef - topside or rib per kg,13.61
201808,Sliced / diced beef pieces per kg,10.4
201808,Pork loin chops per kg,7.515
201808,Pork steak per kg,8.776
201808,Lamb - whole leg / half leg per kg,11.079
201808,Lamb loin chops per kg,16.981
201808,Lamb gigot chops per kg,
201808,Uncooked chicken medium size 1.6kg,4.76
201808,Lamb's liver per kg,5.792
201808,Ham fillet per kg,5.517
201808,Cooked ham per kg,18.236
201808,Best back rashers per kg,9.451
201808,Pork sausages per kg,6.005
201808,Fresh fillet of whiting per kg,
201808,Fresh fillet of cod per kg,16.707
201808,Fresh salmon per kg,18.814
201808,Fresh fillet of plaice per kg,
201808,Fresh hake per kg,14.809
201808,Smoked salmon per kg,31.576
201808,Full fat milk per 2 litre,1.699
201808,Low fat milk per 1 litre,1.035
201808,Irish cheddar per kg,9.894
201808,Large eggs per half dozen,1.708
201808,Medium eggs per half dozen,1.432
201808,Butter per lb,3.04
201808,Grapes per kg,4.865
201808,Bananas per kg,1.403
201808,Tomatoes per kg,3.191
201808,Onions per kg,1.068
201808,Broccoli per kg,2.732
201808,Carrots per kg,1.325
201808,Mushrooms per kg,3.684
201808,Tomatoes tinned per 400g,0.767
201808,Potatoes 2.5 kg,3.328
201808,Potatoes 7.5 kg,5.58
201808,Potatoes 10 kg,
201808,White granulated sugar per 1 kg,1.305
201808,Jam per lb,1.178
201808,Marmalade per lb,1.972
201808,Tea bags per 80,2.776
201808,Orange juice per litre,1.38
201808,Whiskey - take home (70cl bottle),25.212
201808,Brandy - take home (70cl bottle),31.014
201808,Vodka - take home (70cl bottle),18.91
201808,Cream liqueur - take home (70cl bottle),17.113
201808,Wine - take home (75cl bottle),
201808,Cider - take home (50cl can),2.072
201808,Sherry - take home (75cl bottle),
201808,Lager - take home (50cl can),1.982
