Month,Item,Value
201505,Wine - bar (187ml bottle),5.331
201505,Diesel per litre,1.335
201505,Petrol - unleaded per litre,1.443
201505,Cinema fee,9.147
201505,Nightclubs fee,9.232
201505,Gent's dry cut fee,11.848
201505,"Gent's wash, cut, and blow dry fee",17.663
201505,"Ladies' wash, cut and blow dry fee",38.531
201506,"White, self raising flour per 2 kg",2.387
201506,"Brown, wholemeal flour per 2 kg",3.044
201506,"Bread, white sliced pan, large (800g)",1.253
201506,"Bread, brown sliced pan, large (800g)",1.357
201506,Spaghetti per 500g,1.089
201506,Sirloin steak per kg,16.08
201506,Striploin steak per kg,21.655
201506,Roast beef - topside or rib per kg,13.404
201506,Sliced / diced beef pieces per kg,10.49
201506,Pork loin chops per kg,8.0
201506,Pork steak per kg,9.435
201506,Lamb - whole leg / half leg per kg,12.075
201506,Lamb loin chops per kg,18.1
201506,Lamb gigot chops per kg,13.251
201506,Uncooked chicken medium size 1.6kg,5.429
201506,Lamb's liver per kg,5.867
201506,Ham fillet per kg,5.855
201506,Cooked ham per kg,17.446
201506,Best back rashers per kg,10.281
201506,Pork sausages per kg,5.865
201506,Fresh fillet of whiting per kg,11.002
201506,Fresh fillet of cod per kg,15.634
201506,Fresh salmon per kg,17.581
201506,Fresh fillet of plaice per kg,17.633
201506,Fresh hake per kg,
201506,Smoked salmon per kg,30.105
201506,Full fat milk per 2 litre,1.722
201506,Low fat milk per 1 litre,1.047
201506,Irish cheddar per kg,10.493
201506,Large eggs per half dozen,1.869
201506,Medium eggs per half dozen,1.624
201506,Butter per lb,2.728
201506,Grapes per kg,5.176
201506,Bananas per kg,1.361
201506,Tomatoes per kg,3.0
201506,Onions per kg,1.098
201506,Broccoli per kg,3.066
201506,Carrots per kg,1.282
201506,Mushrooms per kg,4.404
201506,Tomatoes tinned per 400g,0.915
201506,Potatoes 2.5 kg,2.655
201506,Potatoes 7.5 kg,
201506,Potatoes 10 kg,4.955
201506,White granulated sugar per 1 kg,1.276
201506,Jam per lb,1.481
201506,Marmalade per lb,1.856
201506,Tea bags per 80,2.766
201506,Orange juice per litre,1.575
201506,Whiskey - take home (70cl bottle),25.713
201506,Brandy - take home (70cl bottle),30.335
201506,Vodka - take home (70cl bottle),19.276
201506,Cream liqueur - take home (70cl bottle),15.28
201506,Wine - take home (75cl bottle),10.68
201506,Cider - take home (50cl can),2.318
201506,Sherry - take home (75cl bottle),13.869
201506,Lager - take home (50cl can),1.955
201506,Stout - take home (50cl can),2.202
201506,Filtered cigarettes per 20 pk,9.999
201506,Stout - draught bar (1 pint),4.303
201506,Lager - draught bar (1 pint),4.678
201506,Lager - bar (33cl bottle),4.63
201506,Cider - draught bar (1 pint),4.753
201506,Ale - draught bar (1 pint),4.357
201506,Cider - bar (33cl bottle),4.734
201506,Flavoured alcoholic drink - bar (275ml bottle),5.298
201506,Whiskey - bar (single) per ½ glass,4.067
201506,Brandy - bar (single) per ½ glass,4.582
201506,Vodka - bar (single) per ½ glass,4.11
201506,Wine - bar (187ml bottle),5.333
201506,Diesel per litre,1.337
201506,Petrol - unleaded per litre,1.452
201506,Cinema fee,9.141
201506,Nightclubs fee,9.315
201506,Gent's dry cut fee,11.848
201506,"Gent's wash, cut, and blow dry fee",17.666
201506,"Ladies' wash, cut and blow dry fee",38.531
